ENTSOE Country,EIC Code, CODE_2_AREA, CODE_2
Austria,10YAT-APG------L, AT, AT
Belgium,10YBE----------2, BE, BR
Bulgaria,10YCA-BULGARIA-R, BG, BG
Croatia,10YHR-HEP------M, HR, HR
Cyprus,10YCY-TSO-----L, CY, CY
Czech Republic,10YCZ-CEPS-----N, CZ, CZ
Denmark (DK1),10YDK-1--------W, DK1, DK
Denmark (DK2),10YDK-2--------M, DK2, DK
Estonia,10Y1001A1001A39I, EE, EE
Finland,10YFI-1--------U, FI, FI
France,10YFR-RTE------C, FR, FR
Germany (DE-LU),10Y1001A1001A82H, DE, DE
Greece,10YGR-HTSO-----Y, GR, GR
Hungary,10YHU-MAVIR----U, HU, HU
Ireland,10YIE-1001A00010, IE, IE
Italy (North),10Y1001A1001A73I, NORD, IT
Italy (Center-North),10Y1001A1001A70O, CNOR, IT
Italy (Center-South),10Y1001A1001A71M, CSUD, IT
Italy (South),10Y1001A1001A788, SUD, IT
Italy (Sicily),10Y1001A1001A74G, SICI, IT
Italy (Sardinia),10Y1001A1001A75E, SARD, IT
Latvia,10YLV-1001A00074, LV, LV
Lithuania,10YLT-1001A0008Q, LT, LT
Luxembourg,10Y1001A1001A82H, LU, LU
Malta,10Y1001A1001A93C, MT, MT
Netherlands,10YNL----------L, NL, NL
Norway (NO1),10YNO-1--------2, NO1, NO
Norway (NO2),10YNO-2--------T, NO2, NO
Norway (NO3),10YNO-3--------J, NO3, NO
Norway (NO4),10YNO-4--------9, NO4, NO
Norway (NO5),10YNO-5--------C, NO5, NO
Poland,10YPL-AREA-----S, PL, PL
Portugal,10YPT-REN------W, PT, PT
Romania,10YRO-TEL------P, RO, RO
Slovakia,10YSK-SEPS-----K, SK, SK
Slovenia,10YSI-ELES-----O, SI, SI
Spain,10YES-REE------0, ES, ES
Sweden (SE1),10YSE-1--------K, SE1, SE
Sweden (SE2),10YSE-2--------M, SE2, SE
Sweden (SE3),10YSE-3--------J, SE3, SE
Sweden (SE4),10YSE-4--------9, SE4, SE
Switzerland,10YCH-SWISSGRIDZ, CH, CH
United Kingdom,10YGB----------A, UK, UK
