Instrument ID,RIC,Security Description,Universal Close Price Date,Universal Close Price,Universal Bid Ask Date,Universal Bid Price,Universal Ask Price,User Defined Identifier,User Defined Identifier2,User Defined Identifier3,User Defined Identifier4,User Defined Identifier5
FDBMc1,FDBMc1,FDBM JUL6,28/03/2025,120.6,28/02/2025,121.8,125.38,FDBMc1,ITA,eex,M,1
FDBMc2,FDBMc2,FDBM AUG6,28/03/2025,108.31,28/03/2025,105.76,108.5,FDBMc2,ITA,eex,M,2
FDBMc3,FDBMc3,FDBM SEP6,28/03/2025,106.39,28/03/2025,104.25,107.28,FDBMc3,ITA,eex,M,3
FDBQc1,FDBQc1,Italian Base Quarter Energy Future c1,28/03/2025,122.5,28/03/2025,122.35,123.9,FDBQc1,ITA,eex,Q,1
FDBQc2,FDBQc2,Italian Base Quarter Energy Future c2,28/03/2025,119.83,28/03/2025,119.1,121.18,FDBQc2,ITA,eex,Q,2
FDBQc3,FDBQc3,Italian Base Quarter Energy Future c3,28/03/2025,117.44,28/03/2025,117.2,119.36,FDBQc3,ITA,eex,M,2
FDBYc1,FDBYc1,Italian Base Year Energy Future c1,28/03/2025,103.02,28/03/2025,102.23,103.9,FDBYc1,ITA,eex,Y,1
FDBYc2,FDBYc2,Italian Base Year Energy Future c2,28/03/2025,88.3,28/03/2025,87.25,92.75,FDBYc2,ITA,eex,Y,2
F7BMc1,F7BMc1,F7BM JUL6,28/03/2025,77.07,28/02/2025,75.8,77.5,F7BMc1,FR,eex,M,1
F7BMc2,F7BMc2,F7BM AUG6,28/03/2025,52.98,28/03/2025,52.37,54.4,F7BMc2,FR,eex,M,2
F7BMc3,F7BMc3,F7BM SEP6,28/03/2025,38.86,28/03/2025,39,40.2,F7BMc3,FR,eex,M,3
F7BQc1,F7BQc1,French Base Quarter Future Hanover Commodity Exchange c1,28/03/2025,55.94,28/03/2025,55.75,56.5,F7BQc1,FR,eex,Q,1
F7BQc2,F7BQc2,French Base Quarter Future Hanover Commodity Exchange c2,28/03/2025,83.07,28/03/2025,82.26,84.8,F7BQc2,FR,eex,Q,2
F7BQc3,F7BQc3,French Base Quarter Future Hanover Commodity Exchange c3,28/03/2025,87.2,28/03/2025,85.6,87.5,F7BQc3,FR,eex,Q,3
F7BYc1,F7BYc1,French Base Year Future Hanover Commodity Exchange c1,28/03/2025,61.9,28/03/2025,61.8,62.5,F7BYc1,FR,eex,Y,1
F7BYc2,F7BYc2,French Base Year Future Hanover Commodity Exchange c2,28/03/2025,58.76,28/03/2025,58.55,59.15,F7BYc2,FR,eex,Y,2
DEBMc1,DEBMc1,EEX Phelix B Month Energy Fut c1,28/03/2025,94.25,28/02/2025,91,91.64,F1BMc1,GER,eex,M,1
DEBMc2,DEBMc2,EEX Phelix B Month Energy Fut c2,28/03/2025,76.5,28/03/2025,76.25,76.5,F1BMc2,GER,eex,M,2
DEBMc3,DEBMc3,EEX Phelix B Month Energy Fut c3,28/03/2025,68.92,28/03/2025,68.05,69.25,F1BMc3,GER,eex,M,3
DEBQc1,DEBQc1,EEX Phelix B Quarter Energy Fut c1,28/03/2025,83.96,28/03/2025,83.9,84.3,F1BQc1,GER,eex,Q,1
DEBQc2,DEBQc2,EEX Phelix B Quarter Energy Fut c2,28/03/2025,98.69,28/03/2025,98.51,99.3,F1BQc2,GER,eex,Q,2
DEBQc3,DEBQc3,EEX Phelix B Quarter Energy Fut c3,28/03/2025,97.94,28/03/2025,97.55,99.1,F1BQc3,GER,eex,Q,3
DEBYc1,DEBYc1,EEX Phelix B Year Energy Fut c1,28/03/2025,84.26,28/03/2025,84.45,84.65,F1BYc1,GER,eex,Y,1
DEBYc2,DEBYc2,EEX Phelix B Year Energy Fut c2,28/03/2025,75.2,28/03/2025,75.05,75.4,F1BYc2,GER,eex,Y,2
FEUAZ5,FEUAZ5,FEUA DEC5,28/03/2025,68.8,28/03/2025,68.71,69.77,FEUAYc1,CO2,eex,Y,1
CFI2Zc2,CFI2Zc2,ICE EUA Yearly Energy Future c2,28/03/2025,70.79,28/03/2025,70.69,70.74,CFI2Yc1,CO2,ice,Y,1
CFI2Zc3,CFI2Zc3,ICE EUA Yearly Energy Future c3,28/03/2025,73.11,28/03/2025,72.98,73.05,CFI2Yc2,CO2,ice,Y,2
TFMBMc2,TFMBMc2,ENDEX TTF NAT GAS c2,28/03/2025,40.815,28/03/2025,40.65,40.685,TFMBMc2,TTF,ice,M,2
TFMBMc3,TFMBMc3,ENDEX TTF NAT GAS c3,28/03/2025,40.991,28/03/2025,40.84,40.91,TFMBMc3,TTF,ice,M,3
TFMBQc1,TFMBQc1,ENDEX TTF QUATERLY FUTURES c1,28/03/2025,40.798,28/03/2025,40.64,40.82,TFMBQc1,TTF,ice,Q,1
TFMBQc2,TFMBQc2,ENDEX TTF QUATERLY FUTURES c2,28/03/2025,41.308,28/03/2025,41.14,41.305,TFMBQc2,TTF,ice,Q,2
TFMBQc3,TFMBQc3,ENDEX TTF QUATERLY FUTURES c3,28/03/2025,40.8,28/03/2025,40.655,40.785,TFMBQc3,TTF,ice,Q,3
TFMBYc1,TFMBYc1,ENDEX TTF YEARLY FUTURES c1,28/03/2025,35.007,28/03/2025,34.93,35.135,TFMBYc1,TTF,ice,Y,1
